"filename", "language", "XML", "HTML", "C#", "Markdown", "Python", "Batch", "PowerShell", "Shell Script", "Properties", "CSS", "C++", "JSON", "reStructuredText", "JavaScript", "Visual Basic", "comment", "blank", "total"
"f:\VS 2022\repos\IDE\Utils\Boxes\WaitingBar\WBBox.Designer.cs", "C#", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 8, 85
"f:\VS 2022\repos\IDE\Utils\Boxes\WaitingBar\WBBox.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"f:\VS 2022\repos\IDE\Utils\CrashHanding\CrashHandler.cs", "C#", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23, 269
"f:\VS 2022\repos\IDE\Utils\CrashHanding\ErrorAnalysiser.cs", "C#", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 59
"f:\VS 2022\repos\IDE\Utils\LogUtil.cs", "C#", 0, 0, 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 5, 323
"f:\VS 2022\repos\IDE\Utils\NewFile.Designer.cs", "C#", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 6, 182
"f:\VS 2022\repos\IDE\Utils\NewFile.Initializer.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"f:\VS 2022\repos\IDE\Utils\NewFile.cs", "C#", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 128
"f:\VS 2022\repos\IDE\Utils\RE-Addon-Controls\CodeSenseSelection.xaml", "XML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"f:\VS 2022\repos\IDE\Utils\RE-Addon-Controls\CodeSenseSelection.xaml.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 36
"f:\VS 2022\repos\IDE\Utils\RYCBCodeSense\CodeSenseBase.cs", "C#", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"f:\VS 2022\repos\IDE\Utils\RYCBCodeSense\RYCBCodeSense.cs", "C#", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 86
"f:\VS 2022\repos\IDE\Utils\SettingsHandler.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"f:\VS 2022\repos\IDE\Utils\TBox.Designer.cs", "C#", 0, 0, 724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 7, 883
"f:\VS 2022\repos\IDE\Utils\TBox.cs", "C#", 0, 0, 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47, 411
"f:\VS 2022\repos\IDE\Utils\TextEnterBox.Designer.cs", "C#", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 136
"f:\VS 2022\repos\IDE\Utils\TextEnterBox.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"f:\VS 2022\repos\IDE\Utils\Update\CloudSourceConnecter.cs", "C#", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 57
"f:\VS 2022\repos\IDE\Utils\Update\GlobalDefinitions.cs", "C#", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 111
"f:\VS 2022\repos\IDE\Utils\Update\UpdateBackgroundDownloader.cs", "C#", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"f:\VS 2022\repos\IDE\Utils\Update\UpdateChecker.cs", "C#", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22, 201
"f:\VS 2022\repos\IDE\Utils\Update\UpdateGlobalDeployer.cs", "C#", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 82
"f:\VS 2022\repos\IDE\Utils\Update\UpdateValidater.cs", "C#", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"f:\VS 2022\repos\IDE\Utils\Utils.cs", "C#", 0, 0, 672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 107, 1025
"f:\VS 2022\repos\IDE\XML.xshd", "XML", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 87
"f:\VS 2022\repos\IDE\XshdVisualEdit\XshdVisualEditor.Designer.cs", "C#", 0, 0, 414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 6, 545
"f:\VS 2022\repos\IDE\XshdVisualEdit\XshdVisualEditor.cs", "C#", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 179
"f:\VS 2022\repos\IDE\bin\Debug\Cache\Update\Update.ucf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\VS 2022\repos\IDE\bin\Debug\Config\.reconf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 54, 9, 93
"f:\VS 2022\repos\IDE\bin\Debug\Config\HighLighting\C-Sharp.xshd", "XML", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 216
"f:\VS 2022\repos\IDE\bin\Debug\Config\HighLighting\HTML.xshd", "XML", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 53
"f:\VS 2022\repos\IDE\bin\Debug\Config\HighLighting\PlainText.xshd", "XML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 18
"f:\VS 2022\repos\IDE\bin\Debug\Config\HighLighting\Py-CN.xshd", "XML", 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 23, 515
"f:\VS 2022\repos\IDE\bin\Debug\Config\HighLighting\Python.xshd", "XML", 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 241
"f:\VS 2022\repos\IDE\bin\Debug\Config\HighLighting\Settings.xshd", "XML", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 174
"f:\VS 2022\repos\IDE\bin\Debug\Config\HighLighting\XML.xshd", "XML", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 65
